,0,1
0,2,13
1,2,13
2,3,13
3,2,12
4,2,13
5,5,13
6,0,3
7,1,12
8,2,12
9,6,10
10,5,11
11,4,11
12,1,9
13,0,13
14,1,13
15,1,13
16,1,13
17,6,13
18,2,13
19,5,13
20,3,13
21,2,13
22,8,3
23,0,13
24,2,4
25,5,8
26,0,8
27,3,13
28,2,13
29,0,4
30,0,10
31,1,12
32,5,11
33,0,12
34,0,8
35,1,9
36,0,11
37,1,12
38,0,10
39,0,12
40,2,5
41,2,9
42,1,12
43,1,11
44,5,12
45,0,10
46,6,11
47,1,3
48,5,5
49,0,10
50,1,13
51,0,8
52,6,3
53,6,13
54,1,8
55,6,9
56,6,12
57,2,10
58,2,11
59,5,10
60,0,11
61,1,6
62,0,2
63,0,11
64,0,4
65,1,10
66,1,13
67,6,13
68,2,13
69,2,11
70,0,12
71,0,12
72,6,11
73,1,9
74,6,10
75,2,12
76,2,5
77,0,13
78,2,13
79,0,13
80,6,13
81,2,13
82,6,13
83,4,8
84,2,10
85,0,9
86,2,12
87,6,12
88,6,13
89,2,10
90,4,12
91,1,8
92,3,10
93,1,12
94,0,6
95,5,12
96,0,6
97,1,12
98,0,11
99,2,7
100,0,8
101,1,10
102,5,8
103,6,10
104,3,7
105,1,9
106,0,11
107,0,11
108,2,10
109,1,13
110,4,11
111,2,10
112,0,11
113,4,10
114,0,12
115,2,10
116,4,12
117,3,10
118,0,12
119,1,11
120,2,5
121,1,12
122,0,4
123,2,11
124,2,8
125,0,8
126,0,10
127,0,11
128,2,11
129,0,10
130,7,12
131,3,12
132,0,6
133,1,5
134,5,10
135,0,12
136,2,11
137,1,12
138,6,12
139,3,8
140,0,10
141,5,12
142,0,8
143,2,10
144,0,9
145,1,10
146,1,12
147,0,12
148,1,12
149,2,12
150,2,12
151,0,12
152,5,5
153,1,7
154,2,10
155,1,4
156,2,12
157,1,13
158,2,10
159,0,12
160,9,12
161,2,10
162,1,11
163,9,12
164,8,11
165,6,12
166,2,11
167,6,12
168,6,10
169,6,12
170,2,10
171,5,12
172,1,13
173,1,10
174,2,12
175,7,11
176,3,12
177,2,13
178,3,8
179,3,11
180,3,10
181,9,12
182,0,13
183,0,7
184,1,12
185,3,11
186,0,10
187,3,12
188,3,8
189,3,11
190,2,5
191,2,11
192,3,12
193,2,11
194,2,11
195,4,11
196,6,11
197,1,11
198,0,8
199,3,11
200,3,8
201,2,4
202,0,9
203,0,11
204,1,11
205,9,13
206,2,11
207,0,13
208,2,12
209,0,11
210,4,10
211,2,10
212,3,10
213,7,12
214,1,12
215,2,12
216,1,12
217,0,12
218,1,12
219,0,12
220,1,11
221,1,12
222,1,3
223,2,13
224,2,13
225,2,13
226,1,13
227,1,13
228,3,12
229,1,10
230,1,12
231,1,12
232,3,13
233,2,13
234,0,6
235,2,12
236,1,12
237,2,7
238,1,11
239,0,11
240,0,11
241,8,12
242,4,6
243,1,11
244,0,8
245,1,11
246,2,11
247,1,8
248,0,2
249,0,5
250,2,11
251,6,10
252,6,11
253,0,12
254,0,12
255,1,12
256,0,12
257,2,13
258,2,11
259,6,10
260,1,8
261,2,10
262,2,2
263,2,11
264,0,12
265,0,11
266,0,5
267,2,12
268,6,11
269,6,12
270,2,11
271,1,12
272,2,13
273,0,12
274,0,11
275,6,12
276,2,12
277,0,12
278,0,11
279,5,12
280,5,11
281,5,6
282,5,6
283,5,12
284,6,13
285,2,13
286,2,4
287,1,12
288,0,12
289,2,0
290,0,5
291,1,8
292,7,13
293,6,9
294,1,9
295,3,8
296,3,8
297,3,10
298,3,12
299,3,11
300,2,9
301,2,11
302,0,4
303,4,12
304,2,11
305,0,12
306,9,12
307,2,6
308,5,12
309,2,11
310,0,12
311,2,10
312,0,9
313,3,11
314,1,5
315,1,8
316,5,10
317,0,11
318,2,8
319,0,12
320,2,12
321,2,5
322,7,11
323,3,13
324,4,9
325,4,12
326,4,10
327,4,13
328,5,12
329,3,11
330,1,5
331,1,3
332,9,10
333,1,12
334,2,11
335,1,12
336,0,11
337,4,13
338,3,12
339,2,12
340,1,12
341,2,12
342,8,12
343,1,12
344,3,12
345,9,12
346,2,12
347,5,12
348,0,12
349,2,12
350,4,12
351,5,12
352,0,12
353,3,9
354,3,12
355,9,8
356,3,13
357,3,7
358,3,5
359,5,13
360,1,4
361,3,10
362,0,11
363,1,10
364,5,11
365,5,10
366,0,11
367,8,12
368,0,11
369,1,6
370,2,10
371,3,11
372,0,12
373,2,11
374,2,10
375,1,11
376,1,6
377,6,11
378,2,11
379,1,11
380,2,10
381,2,11
382,3,6
383,1,10
384,0,11
385,3,11
386,4,11
387,0,10
388,6,11
389,1,11
390,3,9
391,6,11
392,1,13
393,0,13
394,1,11
395,0,11
396,8,11
397,1,12
398,4,11
399,9,11
400,5,8
401,3,10
402,0,9
403,3,12
404,3,11
405,2,12
406,2,5
407,2,8
408,3,12
409,0,4
410,0,12
411,0,12
412,0,12
413,1,9
414,1,13
415,1,4
416,3,8
417,1,12
418,1,10
419,1,8
420,0,8
421,0,10
422,2,9
423,0,7
424,1,7
425,2,12
426,7,12
427,0,12
428,0,7
429,1,12
430,2,12
431,1,10
432,0,9
433,0,12
434,3,12
435,5,10
436,6,8
437,2,11
438,2,12
439,3,10
440,7,10
441,5,11
442,6,12
443,1,13
444,2,13
445,1,12
446,1,12
447,0,11
448,1,12
449,0,3
450,1,10
451,1,10
452,0,11
453,2,13
