,0,1
0,5,11
1,4,11
2,6,11
3,5,11
4,0,11
5,2,12
6,1,12
7,2,12
8,1,12
9,0,12
10,1,12
11,0,12
12,1,12
13,5,12
14,2,13
15,2,13
16,3,13
17,2,13
18,5,13
19,0,13
20,1,13
21,1,13
22,1,13
23,6,13
24,2,13
25,5,13
26,3,13
27,2,13
28,0,13
29,2,13
30,3,13
31,6,13
32,1,13
33,5,8
34,0,8
35,0,8
36,0,8
37,6,10
38,0,10
39,0,10
40,0,10
41,1,11
42,2,11
43,0,11
44,0,11
45,2,11
46,6,11
47,1,9
48,1,9
49,2,9
50,6,9
51,1,9
52,6,12
53,0,12
54,0,12
55,2,12
56,2,12
57,6,12
58,1,12
59,0,3
60,8,3
61,1,3
62,2,7
63,0,10
64,2,10
65,5,10
66,1,10
67,6,10
68,2,10
69,2,10
70,6,10
71,1,10
72,1,8
73,1,8
74,0,8
75,1,13
76,6,13
77,2,13
78,0,13
79,2,13
80,0,13
81,6,13
82,2,13
83,6,13
84,5,8
85,4,8
86,6,13
87,2,4
88,0,4
89,0,4
90,4,12
91,1,12
92,0,12
93,4,12
94,1,6
95,0,6
96,0,12
97,1,12
98,2,8
99,0,8
100,2,5
101,5,5
102,2,5
103,2,5
104,1,5
105,5,5
106,3,7
107,1,7
108,3,10
109,2,10
110,2,10
111,4,10
112,3,10
113,2,10
114,7,12
115,0,12
116,1,12
117,6,12
118,1,12
119,1,13
120,0,6
121,0,6
122,0,11
123,0,11
124,0,11
125,4,11
126,0,11
127,1,11
128,2,11
129,0,11
130,5,12
131,9,12
132,5,12
133,0,8
134,0,9
135,1,9
136,0,9
137,6,12
138,9,12
139,0,2
140,0,4
141,2,11
142,2,11
143,8,11
144,1,11
145,2,11
146,2,11
147,2,11
148,2,11
149,6,12
150,3,12
151,0,12
152,1,12
153,2,12
154,2,12
155,0,12
156,2,12
157,0,12
158,1,4
159,5,10
160,0,10
161,0,10
162,0,10
163,2,10
164,1,10
165,2,10
166,2,10
167,2,10
168,6,12
169,3,12
170,3,12
171,3,12
172,2,12
173,1,12
174,1,13
175,0,13
176,1,13
177,2,13
178,0,13
179,3,11
180,7,11
181,4,11
182,6,11
183,1,11
184,0,11
185,1,11
186,2,11
187,0,11
188,1,11
189,5,12
190,9,12
191,2,12
192,7,12
193,1,12
194,2,12
195,1,12
196,0,12
197,1,12
198,0,12
199,1,12
200,1,12
201,1,12
202,2,12
203,1,12
204,6,3
205,0,7
206,2,7
207,9,13
208,2,13
209,2,13
210,2,13
211,3,12
212,3,11
213,3,11
214,1,11
215,0,11
216,0,11
217,1,11
218,1,11
219,3,11
220,2,11
221,2,11
222,6,11
223,3,10
224,6,10
225,2,10
226,0,10
227,4,10
228,3,8
229,3,8
230,3,8
231,0,8
232,3,8
233,3,8
234,7,13
235,1,13
236,3,13
237,1,13
238,2,13
239,5,12
240,8,12
241,0,12
242,0,12
243,1,12
244,4,12
245,0,12
246,0,12
247,2,12
248,5,12
249,6,12
250,1,10
251,2,10
252,3,10
253,6,10
254,1,10
255,2,10
256,5,11
257,2,11
258,2,11
259,0,11
260,2,11
261,0,11
262,0,9
263,1,9
264,2,9
265,2,4
266,0,11
267,2,11
268,2,11
269,2,5
270,0,5
271,0,5
272,0,6
273,4,6
274,5,6
275,5,6
276,0,2
277,2,2
278,8,12
279,1,12
280,0,12
281,6,12
282,2,12
283,0,12
284,3,12
285,1,12
286,0,12
287,3,13
288,2,13
289,6,13
290,4,13
291,3,13
292,6,11
293,3,11
294,3,11
295,3,11
296,0,11
297,0,11
298,7,11
299,2,11
300,2,11
301,3,8
302,0,8
303,1,8
304,1,8
305,1,8
306,1,8
307,2,8
308,4,12
309,5,12
310,1,12
311,0,12
312,0,12
313,1,12
314,6,10
315,3,10
316,4,10
317,2,10
318,3,10
319,1,10
320,0,12
321,2,12
322,0,11
323,0,11
324,0,11
325,3,11
326,2,11
327,1,11
328,6,11
329,2,11
330,3,12
331,2,12
332,1,12
333,1,11
334,2,11
335,0,11
336,2,12
337,3,11
338,2,10
339,2,10
340,2,10
341,2,12
342,0,12
343,1,12
344,3,12
345,1,10
346,6,9
347,3,9
348,9,12
349,9,12
350,2,12
351,4,12
352,0,12
353,2,0
354,3,12
355,5,12
356,5,12
357,5,12
358,9,10
359,5,10
360,5,10
361,0,10
362,5,11
363,9,11
364,4,11
365,6,11
366,1,11
367,6,11
368,1,11
369,0,11
370,4,11
371,0,12
372,1,12
373,2,12
374,0,12
375,3,12
376,3,12
377,0,12
378,1,3
379,1,3
380,2,13
381,4,13
382,5,13
383,1,13
384,0,13
385,1,4
386,8,12
387,1,12
388,9,8
389,5,8
390,3,8
391,0,5
392,1,5
393,1,5
394,3,5
395,0,12
396,7,12
397,0,12
398,1,12
399,0,4
400,0,4
401,1,4
402,0,12
403,3,12
404,8,11
405,3,11
406,4,11
407,2,11
408,2,4
409,3,7
410,0,7
411,1,7
412,0,7
413,1,12
414,1,12
415,6,12
416,0,9
417,3,9
418,0,9
419,1,9
420,4,9
421,0,9
422,3,10
423,1,10
424,0,10
425,1,10
426,5,10
427,3,10
428,7,10
429,1,10
430,1,10
431,6,10
432,1,6
433,1,6
434,3,6
435,2,13
436,1,13
437,1,13
438,4,13
439,2,13
440,2,13
441,2,12
442,2,12
443,2,12
444,1,12
445,2,12
446,3,12
447,1,12
448,1,12
449,2,12
450,1,12
451,2,12
452,2,5
453,2,5
