,0,1
0,2,13
1,2,13
2,3,13
3,2,12
4,1,12
5,2,12
6,1,12
7,0,12
8,1,12
9,2,13
10,5,13
11,5,11
12,4,11
13,1,9
14,0,3
15,0,13
16,1,13
17,1,13
18,1,13
19,6,13
20,6,11
21,5,11
22,5,8
23,0,8
24,2,4
25,0,10
26,3,10
27,2,13
28,5,13
29,3,13
30,8,3
31,0,4
32,1,9
33,2,9
34,0,11
35,1,11
36,2,11
37,0,11
38,0,11
39,2,11
40,0,8
41,0,10
42,0,12
43,1,12
44,5,12
45,0,12
46,6,10
47,0,10
48,3,7
49,2,5
50,6,9
51,6,13
52,6,12
53,0,8
54,5,5
55,2,5
56,0,2
57,0,10
58,2,13
59,2,10
60,0,13
61,1,6
62,2,13
63,3,13
64,1,13
65,1,13
66,6,13
67,0,4
68,1,3
69,5,10
70,1,10
71,3,10
72,1,8
73,0,12
74,1,9
75,6,3
76,6,11
77,0,11
78,0,11
79,0,11
80,4,11
81,0,11
82,6,10
83,2,13
84,0,13
85,4,8
86,1,8
87,0,9
88,2,10
89,2,10
90,2,12
91,2,12
92,6,12
93,0,6
94,1,12
95,4,12
96,0,6
97,5,12
98,2,7
99,2,13
100,0,13
101,6,13
102,1,12
103,6,10
104,1,10
105,0,8
106,3,12
107,0,12
108,4,12
109,2,13
110,6,13
111,6,13
112,1,13
113,2,10
114,2,10
115,1,9
116,5,8
117,1,11
118,2,5
119,4,10
120,3,11
121,2,11
122,0,4
123,0,12
124,1,12
125,7,12
126,3,11
127,0,11
128,2,11
129,2,8
130,0,8
131,0,6
132,1,5
133,1,7
134,0,7
135,2,11
136,5,5
137,9,12
138,0,12
139,1,12
140,2,10
141,6,12
142,3,8
143,0,8
144,5,10
145,0,9
146,1,13
147,0,13
148,1,13
149,1,4
150,5,12
151,8,11
152,1,11
153,1,12
154,2,11
155,7,11
156,2,11
157,0,10
158,0,10
159,6,12
160,2,4
161,2,13
162,6,12
163,0,12
164,2,11
165,2,11
166,0,10
167,2,10
168,1,10
169,4,11
170,6,11
171,3,12
172,3,8
173,3,11
174,3,8
175,0,13
176,1,12
177,3,12
178,3,10
179,3,12
180,2,12
181,2,5
182,2,10
183,2,12
184,0,12
185,3,11
186,6,12
187,9,12
188,1,11
189,2,12
190,0,12
191,2,10
192,2,10
193,0,9
194,0,8
195,5,12
196,6,10
197,0,11
198,1,11
199,2,10
200,2,12
201,9,12
202,1,12
203,2,11
204,0,11
205,1,11
206,1,11
207,0,11
208,0,11
209,1,11
210,1,11
211,2,12
212,7,12
213,1,12
214,2,12
215,1,12
216,0,12
217,1,12
218,0,12
219,1,12
220,3,12
221,1,12
222,1,12
223,1,10
224,9,13
225,0,6
226,4,6
227,5,6
228,5,6
229,3,8
230,2,11
231,2,7
232,2,13
233,2,13
234,2,13
235,1,13
236,1,3
237,0,10
238,4,10
239,2,12
240,1,12
241,8,12
242,2,10
243,3,10
244,3,13
245,2,13
246,0,2
247,2,11
248,0,5
249,0,12
250,0,12
251,1,12
252,6,11
253,2,11
254,2,11
255,6,10
256,0,12
257,0,12
258,8,12
259,1,13
260,3,13
261,2,13
262,2,2
263,1,10
264,6,10
265,3,8
266,0,11
267,2,0
268,0,5
269,0,5
270,1,5
271,2,12
272,4,12
273,2,13
274,6,11
275,2,11
276,0,11
277,3,11
278,3,11
279,0,11
280,3,11
281,2,11
282,6,12
283,3,8
284,0,8
285,1,8
286,2,4
287,3,7
288,3,10
289,2,10
290,1,12
291,6,9
292,1,9
293,2,11
294,1,8
295,0,12
296,2,9
297,6,12
298,2,12
299,0,12
300,4,12
301,4,10
302,0,4
303,2,11
304,0,11
305,3,9
306,4,9
307,2,11
308,1,8
309,1,8
310,6,13
311,7,13
312,3,12
313,1,12
314,0,12
315,1,12
316,0,12
317,9,12
318,1,5
319,2,13
320,4,13
321,5,11
322,5,12
323,5,12
324,2,10
325,9,10
326,3,10
327,1,10
328,2,10
329,0,11
330,0,11
331,3,5
332,2,5
333,0,11
334,9,11
335,0,11
336,3,11
337,2,11
338,1,11
339,6,11
340,2,11
341,1,11
342,2,11
343,0,11
344,3,11
345,0,12
346,1,12
347,0,12
348,2,12
349,3,12
350,2,12
351,1,12
352,2,12
353,2,12
354,0,12
355,1,12
356,3,12
357,9,12
358,2,12
359,4,12
360,5,12
361,3,13
362,2,8
363,5,11
364,2,6
365,1,6
366,1,6
367,0,9
368,0,12
369,1,3
370,1,4
371,2,10
372,2,10
373,5,10
374,6,11
375,4,11
376,5,10
377,0,4
378,3,6
379,1,10
380,0,10
381,1,13
382,0,13
383,3,12
384,8,12
385,9,8
386,1,4
387,1,11
388,7,11
389,6,11
390,3,9
391,1,13
392,0,12
393,1,12
394,1,11
395,0,11
396,8,11
397,4,13
398,4,11
399,3,11
400,3,12
401,5,12
402,2,12
403,2,5
404,3,10
405,3,12
406,2,8
407,0,12
408,0,12
409,0,12
410,1,13
411,1,12
412,2,12
413,0,12
414,0,9
415,1,9
416,3,8
417,1,8
418,0,7
419,2,9
420,1,12
421,2,12
422,1,7
423,0,7
424,1,10
425,0,10
426,1,10
427,3,10
428,1,10
429,1,10
430,0,12
431,3,12
432,2,12
433,0,9
434,6,12
435,5,12
436,4,11
437,2,11
438,0,11
439,0,11
440,4,11
441,0,10
442,6,10
443,0,10
444,2,12
445,0,8
446,6,8
447,4,12
448,1,12
449,0,3
450,7,12
451,1,12
452,1,12
453,2,10
