,0,1
0,5,8
1,2,13
2,2,13
3,2,12
4,3,13
5,1,12
6,2,12
7,1,9
8,2,13
9,5,11
10,0,3
11,4,11
12,5,13
13,0,13
14,1,13
15,1,13
16,2,4
17,6,11
18,1,13
19,8,3
20,6,10
21,0,8
22,0,4
23,0,10
24,1,12
25,0,12
26,3,10
27,5,11
28,1,9
29,0,11
30,0,8
31,0,10
32,3,7
33,1,12
34,2,5
35,0,12
36,2,9
37,1,12
38,5,12
39,1,11
40,6,9
41,6,13
42,6,13
43,0,10
44,5,5
45,0,8
46,0,2
47,2,13
48,6,12
49,2,11
50,5,13
51,0,10
52,0,11
53,0,11
54,2,10
55,0,4
56,2,11
57,6,11
58,2,13
59,1,6
60,0,13
61,2,13
62,5,10
63,0,11
64,1,3
65,1,10
66,1,13
67,1,13
68,0,12
69,6,3
70,0,12
71,1,8
72,1,9
73,0,11
74,0,11
75,4,11
76,2,5
77,6,13
78,2,13
79,6,10
80,0,13
81,0,9
82,4,8
83,2,13
84,0,13
85,6,13
86,2,13
87,2,10
88,2,12
89,2,12
90,6,12
91,2,10
92,1,8
93,0,6
94,1,12
95,0,6
96,2,7
97,5,12
98,1,12
99,4,12
100,0,4
101,6,10
102,0,8
103,1,10
104,1,9
105,3,10
106,3,13
107,3,13
108,0,11
109,3,12
110,2,10
111,6,13
112,3,11
113,2,10
114,3,11
115,1,11
116,5,8
117,2,5
118,1,4
119,3,8
120,6,13
121,2,11
122,0,12
123,4,12
124,2,8
125,0,11
126,2,11
127,1,5
128,0,8
129,0,6
130,0,12
131,1,12
132,7,12
133,4,10
134,2,11
135,3,12
136,5,5
137,3,8
138,1,7
139,9,12
140,0,12
141,8,11
142,3,11
143,1,13
144,2,10
145,0,9
146,1,11
147,2,11
148,2,11
149,2,11
150,1,12
151,3,8
152,2,11
153,6,12
154,6,11
155,1,11
156,3,11
157,1,13
158,0,8
159,0,13
160,1,13
161,2,13
162,5,12
163,5,10
164,0,7
165,0,10
166,1,12
167,0,10
168,7,11
169,6,12
170,0,10
171,3,12
172,3,10
173,2,10
174,6,12
175,9,12
176,1,10
177,0,12
178,3,12
179,2,5
180,1,12
181,2,10
182,2,12
183,4,11
184,2,12
185,0,12
186,6,12
187,2,12
188,0,12
189,1,3
190,2,4
191,2,10
192,0,9
193,9,13
194,0,8
195,2,10
196,0,13
197,0,11
198,5,12
199,6,10
200,1,11
201,2,10
202,2,12
203,9,12
204,2,11
205,1,12
206,1,10
207,2,7
208,2,12
209,0,11
210,7,12
211,1,12
212,2,12
213,1,12
214,0,12
215,1,12
216,0,12
217,1,11
218,2,13
219,7,13
220,0,10
221,0,6
222,1,12
223,0,5
224,1,12
225,4,10
226,3,8
227,3,12
228,1,11
229,0,11
230,2,13
231,5,12
232,1,12
233,0,11
234,2,12
235,1,12
236,5,11
237,1,11
238,3,8
239,1,11
240,2,13
241,8,12
242,2,10
243,3,8
244,2,11
245,3,10
246,0,2
247,2,11
248,5,6
249,6,11
250,0,12
251,5,6
252,0,12
253,1,12
254,6,10
255,0,12
256,0,12
257,2,12
258,5,12
259,8,12
260,4,6
261,4,12
262,1,10
263,1,13
264,2,11
265,3,7
266,2,2
267,2,11
268,3,13
269,1,13
270,0,11
271,0,5
272,6,10
273,2,0
274,2,13
275,3,13
276,6,11
277,0,8
278,2,11
279,1,8
280,6,12
281,2,4
282,3,10
283,2,13
284,0,5
285,2,10
286,0,11
287,6,9
288,0,4
289,4,10
290,3,11
291,3,11
292,1,12
293,1,9
294,1,8
295,2,9
296,0,11
297,3,11
298,0,12
299,2,11
300,6,12
301,1,5
302,1,8
303,3,9
304,4,9
305,6,13
306,0,11
307,0,12
308,1,5
309,4,12
310,3,12
311,2,11
312,2,12
313,1,12
314,0,12
315,2,11
316,7,11
317,2,11
318,5,12
319,1,12
320,0,12
321,0,12
322,1,12
323,0,12
324,2,12
325,5,12
326,3,5
327,2,13
328,2,13
329,1,8
330,0,11
331,1,3
332,4,13
333,9,10
334,3,13
335,2,5
336,2,10
337,2,8
338,0,11
339,2,6
340,9,12
341,0,9
342,5,11
343,0,11
344,1,4
345,9,11
346,0,11
347,2,11
348,1,11
349,6,11
350,2,11
351,1,11
352,2,11
353,0,11
354,4,11
355,1,6
356,1,10
357,5,10
358,5,10
359,1,6
360,2,10
361,2,10
362,2,12
363,3,10
364,3,11
365,1,12
366,0,12
367,1,12
368,9,12
369,5,13
370,5,12
371,2,10
372,2,12
373,2,12
374,1,10
375,0,4
376,2,12
377,2,5
378,0,10
379,1,13
380,0,13
381,0,12
382,1,4
383,8,12
384,6,11
385,9,8
386,0,12
387,1,11
388,0,7
389,1,7
390,1,13
391,6,11
392,4,13
393,5,12
394,1,11
395,0,11
396,1,12
397,8,11
398,4,12
399,3,6
400,3,11
401,3,12
402,3,12
403,3,12
404,3,9
405,3,11
406,5,8
407,2,12
408,2,8
409,0,12
410,0,12
411,0,9
412,0,12
413,1,10
414,1,9
415,0,3
416,1,12
417,4,11
418,1,13
419,2,9
420,2,12
421,2,11
422,7,12
423,0,12
424,0,10
425,0,7
426,1,12
427,2,12
428,1,10
429,0,12
430,4,11
431,2,12
432,6,12
433,0,9
434,5,10
435,1,12
436,1,12
437,7,10
438,1,12
439,5,11
440,1,8
441,1,10
442,2,12
443,1,12
444,1,12
445,0,8
446,0,11
447,0,11
448,2,11
449,2,13
450,6,8
451,3,12
452,3,12
453,3,8
