,0,1
0,1,13
1,2,13
2,0,13
3,2,13
4,5,13
5,4,13
6,0,13
7,2,12
8,0,12
9,1,12
10,1,12
11,2,10
12,0,10
13,3,10
14,2,10
15,1,10
16,1,10
17,1,10
18,5,11
19,6,11
20,2,11
21,1,9
22,0,9
23,3,9
24,0,9
25,6,9
26,1,9
27,5,9
28,4,9
29,2,9
30,3,13
31,5,13
32,1,13
33,2,13
34,5,13
35,0,13
36,2,13
37,3,13
38,2,13
39,1,7
40,5,7
41,2,7
42,1,7
43,2,7
44,2,7
45,1,11
46,1,11
47,0,11
48,2,11
49,1,9
50,2,9
51,2,9
52,6,9
53,7,9
54,9,9
55,1,9
56,3,9
57,0,13
58,0,13
59,2,13
60,0,13
61,2,13
62,0,13
63,1,13
64,3,13
65,6,13
66,6,13
67,0,13
68,0,13
69,3,13
70,0,6
71,1,6
72,2,6
73,5,6
74,2,10
75,5,10
76,2,10
77,0,10
78,3,10
79,0,10
80,2,1
81,4,7
82,1,7
83,2,7
84,2,7
85,3,7
86,0,7
87,2,11
88,4,11
89,1,11
90,1,11
91,7,11
92,4,13
93,4,13
94,4,13
95,2,13
96,4,13
97,3,13
98,7,13
99,2,8
100,0,8
101,2,8
102,6,8
103,2,8
104,6,12
105,3,12
106,0,12
107,2,10
108,6,10
109,0,10
110,3,13
111,0,13
112,2,13
113,9,13
114,1,13
115,1,13
116,1,13
117,2,13
118,1,13
119,1,13
120,3,13
121,7,13
122,7,13
123,4,13
124,1,7
125,3,7
126,1,7
127,2,7
128,2,3
129,3,3
130,7,9
131,0,9
132,2,9
133,2,9
134,2,9
135,0,9
136,2,9
137,0,10
138,9,10
139,2,10
140,3,10
141,4,13
142,3,13
143,3,13
144,2,13
145,2,13
146,2,12
147,3,12
148,3,4
149,0,4
150,4,7
151,8,7
152,2,7
153,9,0
154,1,0
155,1,8
156,7,8
157,1,8
158,2,8
159,6,10
160,1,10
161,0,10
162,1,9
163,0,9
164,0,9
165,0,9
166,5,9
167,5,13
168,1,13
169,3,13
170,1,13
171,3,13
172,1,13
173,5,13
174,5,13
175,4,13
176,0,13
177,5,10
178,9,10
179,1,10
180,3,6
181,1,6
182,6,6
183,0,6
184,5,6
185,6,6
186,1,5
187,5,12
188,5,12
189,6,11
190,1,11
191,7,9
192,5,9
193,6,9
194,0,9
195,2,13
196,0,13
197,0,13
198,3,13
199,2,13
200,2,13
201,2,13
202,2,13
203,1,13
204,5,13
205,5,13
206,2,13
207,2,13
208,3,13
209,2,13
210,2,13
211,1,13
212,4,13
213,2,9
214,2,9
215,3,9
216,2,9
217,2,9
218,2,9
219,1,7
220,2,7
221,9,7
222,0,7
223,2,7
224,0,7
225,4,7
226,8,13
227,0,13
228,6,13
229,3,13
230,2,13
231,2,13
232,2,13
233,2,13
234,5,13
235,2,13
236,0,13
237,1,13
238,0,13
239,4,13
240,2,10
241,2,10
242,2,10
243,5,9
244,3,9
245,0,9
246,2,9
247,3,9
248,4,9
249,3,9
250,2,3
251,4,6
252,2,6
253,0,5
254,0,5
255,0,5
256,4,13
257,6,13
258,3,13
259,0,13
260,1,9
261,1,9
262,1,9
263,1,9
264,3,13
265,5,13
266,7,13
267,1,13
268,6,13
269,5,13
270,2,13
271,2,13
272,2,13
273,2,13
274,2,13
275,2,13
276,2,13
277,3,1
278,7,1
279,5,8
280,2,8
281,3,8
282,2,1
283,0,2
284,1,10
285,6,10
286,1,10
287,1,9
288,1,9
289,3,9
290,0,9
291,0,9
292,1,9
293,1,11
294,3,11
295,1,11
296,1,11
297,1,13
298,9,13
299,6,13
300,1,13
301,0,13
302,1,13
303,0,13
304,3,13
305,2,13
306,2,13
307,2,13
308,0,13
309,2,13
310,1,13
311,0,7
312,1,7
313,2,7
314,0,7
315,9,7
316,2,7
317,1,8
318,2,8
319,1,8
320,3,8
321,5,8
322,4,13
323,4,13
324,3,13
325,4,13
326,1,13
327,0,13
328,3,13
329,2,13
330,1,13
331,0,13
332,3,13
333,1,13
334,5,11
335,2,11
336,1,11
337,0,11
338,2,10
339,5,10
340,1,10
341,2,10
342,5,10
343,2,6
344,9,6
345,5,6
346,0,6
347,3,6
348,5,9
349,3,9
350,3,9
351,2,13
352,0,13
353,0,13
354,0,13
355,0,13
356,0,13
357,0,13
358,2,13
359,3,13
360,0,13
361,2,13
362,3,13
363,2,13
364,2,13
365,2,13
366,2,13
367,0,13
368,5,9
369,7,9
370,2,0
371,3,7
372,4,7
373,0,7
374,0,13
375,0,13
376,6,13
377,1,13
378,1,13
379,1,13
380,1,13
381,0,13
382,3,13
383,0,13
384,0,13
385,0,13
386,1,6
387,6,6
388,6,5
389,4,11
390,3,11
391,9,13
392,9,13
393,3,13
394,0,13
395,2,13
396,6,13
397,4,13
398,0,13
399,0,13
400,0,13
401,5,13
402,5,13
403,5,13
404,1,13
405,1,13
406,1,13
407,1,12
408,1,12
409,0,12
410,1,12
411,1,7
412,2,7
413,0,7
414,0,7
415,0,7
416,5,7
417,1,9
418,1,9
419,1,9
420,0,9
421,2,9
422,2,9
423,1,9
424,0,4
425,2,4
426,0,8
427,0,8
428,0,8
429,6,10
430,5,10
431,0,10
432,1,13
433,0,13
434,0,13
435,2,13
436,2,13
437,0,13
438,5,13
439,1,13
440,1,13
441,4,13
442,4,13
443,1,13
444,3,13
445,3,13
446,0,13
447,0,13
448,0,13
449,6,13
