,0,1
0,1,13
1,2,13
2,0,13
3,2,13
4,5,13
5,4,13
6,0,13
7,2,10
8,0,10
9,3,10
10,2,10
11,1,10
12,2,12
13,0,12
14,1,12
15,1,12
16,1,10
17,1,10
18,2,10
19,5,11
20,6,11
21,1,9
22,1,7
23,5,7
24,2,7
25,1,7
26,2,1
27,0,9
28,4,9
29,2,11
30,1,11
31,2,7
32,2,7
33,1,8
34,3,9
35,1,11
36,0,6
37,1,6
38,0,9
39,1,9
40,0,11
41,3,13
42,1,13
43,2,13
44,0,13
45,6,9
46,3,4
47,2,9
48,1,9
49,2,9
50,2,11
51,2,11
52,3,12
53,0,12
54,1,7
55,2,7
56,2,13
57,3,13
58,6,12
59,5,13
60,5,9
61,5,13
62,7,9
63,5,10
64,0,13
65,2,13
66,0,13
67,9,9
68,2,9
69,2,10
70,4,13
71,4,13
72,4,13
73,6,13
74,2,13
75,0,13
76,2,8
77,0,10
78,0,10
79,4,7
80,0,2
81,6,9
82,4,11
83,1,11
84,1,9
85,2,13
86,0,13
87,6,13
88,1,13
89,3,13
90,3,9
91,3,10
92,5,12
93,2,10
94,0,10
95,0,13
96,0,13
97,3,13
98,2,13
99,4,13
100,3,13
101,7,13
102,5,13
103,3,13
104,0,13
105,2,13
106,9,13
107,7,13
108,0,8
109,6,10
110,5,10
111,2,3
112,4,6
113,2,12
114,1,13
115,1,13
116,1,13
117,2,13
118,1,13
119,1,13
120,7,13
121,3,13
122,2,6
123,5,6
124,0,10
125,9,10
126,2,10
127,3,10
128,0,9
129,1,11
130,0,5
131,2,8
132,3,3
133,1,0
134,2,7
135,3,7
136,0,7
137,2,9
138,3,12
139,6,8
140,7,9
141,7,11
142,2,8
143,7,8
144,6,10
145,1,10
146,0,10
147,2,9
148,9,0
149,1,7
150,0,4
151,3,7
152,1,7
153,0,5
154,2,10
155,2,7
156,1,7
157,6,11
158,4,13
159,0,5
160,2,6
161,2,9
162,4,13
163,3,13
164,3,13
165,2,13
166,3,6
167,0,9
168,8,7
169,2,10
170,5,9
171,1,13
172,1,8
173,1,10
174,1,9
175,2,9
176,4,7
177,2,13
178,5,12
179,3,13
180,1,13
181,3,13
182,2,13
183,5,13
184,5,13
185,0,13
186,0,13
187,2,13
188,6,6
189,0,6
190,5,6
191,2,7
192,7,9
193,0,9
194,2,8
195,5,8
196,2,10
197,0,9
198,2,7
199,0,7
200,2,8
201,3,8
202,0,9
203,4,13
204,2,13
205,2,13
206,0,13
207,2,9
208,6,10
209,2,9
210,2,9
211,3,1
212,6,6
213,9,10
214,1,6
215,2,13
216,3,13
217,2,13
218,2,13
219,3,13
220,2,13
221,5,9
222,9,7
223,1,13
224,1,13
225,2,13
226,1,13
227,0,13
228,1,5
229,6,9
230,1,11
231,2,9
232,2,9
233,0,9
234,6,13
235,3,13
236,1,13
237,2,13
238,2,13
239,2,13
240,2,13
241,2,13
242,0,13
243,0,13
244,6,13
245,4,13
246,4,13
247,4,13
248,2,13
249,2,3
250,1,10
251,3,13
252,2,13
253,1,8
254,3,9
255,2,13
256,2,6
257,3,9
258,0,2
259,0,13
260,3,7
261,8,13
262,2,7
263,4,7
264,1,9
265,5,13
266,5,13
267,5,13
268,5,9
269,1,11
270,2,9
271,1,9
272,5,13
273,2,8
274,1,13
275,3,9
276,5,6
277,3,13
278,6,13
279,2,13
280,5,13
281,2,13
282,4,13
283,2,13
284,2,13
285,1,13
286,2,13
287,6,13
288,2,13
289,1,13
290,1,8
291,1,10
292,2,10
293,0,9
294,4,9
295,1,9
296,1,9
297,0,7
298,0,7
299,1,7
300,2,7
301,0,7
302,3,9
303,1,9
304,1,9
305,3,11
306,1,11
307,2,0
308,1,11
309,2,11
310,4,11
311,6,5
312,9,6
313,3,8
314,3,9
315,9,13
316,0,13
317,2,1
318,0,9
319,0,9
320,2,13
321,1,13
322,0,13
323,1,6
324,3,13
325,0,13
326,4,13
327,2,13
328,0,8
329,1,9
330,1,13
331,3,13
332,4,13
333,1,13
334,0,13
335,3,13
336,2,13
337,9,7
338,0,6
339,1,10
340,2,10
341,3,10
342,6,10
343,2,7
344,1,12
345,3,6
346,1,13
347,0,13
348,3,13
349,1,11
350,0,11
351,6,6
352,1,13
353,2,13
354,0,13
355,0,13
356,1,12
357,0,12
358,1,9
359,0,4
360,0,13
361,0,13
362,9,13
363,0,13
364,5,11
365,1,0
366,1,13
367,0,13
368,2,13
369,7,13
370,7,1
371,5,8
372,1,13
373,3,13
374,0,13
375,2,13
376,1,13
377,1,13
378,3,13
379,2,13
380,2,13
381,2,13
382,2,13
383,0,13
384,0,13
385,0,13
386,6,13
387,0,13
388,3,13
389,0,13
390,0,13
391,0,13
392,5,13
393,5,13
394,3,13
395,4,13
396,5,10
397,5,10
398,5,9
399,9,13
400,0,13
401,2,13
402,0,13
403,3,13
404,0,8
405,5,10
406,3,10
407,0,10
408,4,7
409,1,7
410,0,7
411,6,13
412,5,13
413,0,13
414,3,13
415,0,13
416,3,9
417,3,9
418,7,9
419,3,11
420,2,6
421,2,6
422,5,9
423,2,4
424,0,8
425,1,12
426,1,9
427,1,9
428,2,7
429,1,13
430,1,13
431,1,13
432,1,13
433,0,13
434,0,13
435,2,13
436,2,13
437,0,13
438,5,13
439,1,13
440,1,13
441,3,13
442,1,13
443,0,13
444,9,13
445,0,13
446,0,13
447,3,13
448,5,3
449,0,7
