,0,1
0,1,13
1,2,13
2,0,13
3,2,13
4,5,13
5,4,13
6,0,13
7,1,7
8,5,7
9,2,10
10,0,10
11,3,10
12,2,10
13,1,10
14,1,10
15,1,10
16,1,9
17,0,9
18,3,9
19,0,9
20,5,11
21,6,11
22,2,11
23,1,11
24,1,11
25,0,11
26,4,13
27,3,13
28,1,13
29,2,13
30,0,13
31,2,13
32,3,13
33,2,12
34,0,12
35,1,12
36,1,12
37,6,12
38,6,9
39,1,9
40,5,9
41,2,9
42,1,9
43,2,9
44,7,9
45,9,9
46,2,9
47,1,9
48,2,7
49,1,7
50,2,7
51,2,7
52,1,7
53,5,13
54,5,13
55,0,13
56,2,13
57,0,13
58,2,13
59,0,13
60,2,13
61,0,13
62,1,13
63,3,13
64,2,1
65,2,10
66,5,10
67,2,10
68,0,10
69,2,11
70,2,11
71,1,11
72,2,7
73,2,7
74,3,7
75,0,13
76,0,13
77,3,13
78,5,13
79,2,13
80,3,13
81,6,13
82,6,13
83,7,13
84,3,13
85,0,6
86,1,6
87,2,6
88,5,6
89,1,8
90,2,8
91,4,9
92,6,9
93,3,9
94,0,9
95,3,10
96,0,10
97,2,10
98,6,10
99,3,12
100,0,12
101,5,12
102,2,12
103,3,12
104,2,3
105,3,3
106,4,7
107,0,7
108,1,7
109,3,7
110,1,7
111,4,13
112,4,13
113,4,13
114,0,13
115,1,13
116,1,13
117,9,13
118,7,13
119,1,13
120,1,13
121,1,13
122,7,13
123,3,13
124,4,13
125,0,10
126,5,10
127,0,10
128,2,10
129,4,11
130,1,11
131,7,11
132,6,11
133,7,9
134,2,9
135,2,9
136,2,9
137,0,9
138,1,9
139,2,9
140,0,8
141,2,8
142,6,8
143,2,8
144,1,8
145,2,13
146,2,13
147,4,13
148,3,13
149,3,13
150,2,13
151,2,13
152,3,13
153,3,4
154,0,4
155,3,10
156,6,10
157,9,10
158,0,10
159,2,10
160,2,7
161,4,7
162,2,7
163,2,7
164,0,5
165,0,5
166,0,5
167,7,8
168,2,8
169,4,6
170,2,6
171,3,6
172,1,6
173,0,6
174,1,13
175,1,13
176,3,13
177,2,13
178,0,9
179,0,9
180,0,9
181,2,9
182,2,9
183,2,9
184,0,13
185,0,13
186,2,13
187,2,13
188,2,13
189,0,13
190,2,13
191,3,13
192,6,9
193,2,9
194,2,9
195,0,9
196,9,10
197,5,9
198,5,9
199,3,9
200,2,13
201,2,13
202,8,13
203,3,13
204,2,13
205,2,10
206,2,10
207,6,10
208,4,13
209,2,13
210,9,0
211,1,0
212,1,10
213,1,10
214,1,13
215,1,13
216,1,13
217,0,13
218,6,13
219,5,13
220,5,13
221,5,13
222,1,13
223,2,13
224,3,13
225,2,13
226,8,7
227,0,7
228,0,7
229,1,7
230,4,7
231,6,6
232,6,6
233,1,11
234,1,11
235,0,2
236,7,9
237,0,9
238,1,9
239,2,9
240,1,9
241,4,13
242,2,13
243,6,13
244,5,13
245,2,13
246,2,13
247,0,13
248,0,13
249,4,13
250,4,13
251,2,13
252,4,9
253,1,9
254,1,9
255,1,9
256,9,7
257,2,7
258,0,7
259,1,7
260,2,7
261,0,7
262,5,9
263,1,9
264,5,13
265,2,13
266,7,13
267,2,13
268,5,8
269,2,8
270,1,8
271,2,8
272,0,13
273,5,13
274,1,13
275,2,13
276,5,13
277,2,13
278,5,9
279,5,12
280,2,13
281,2,13
282,1,13
283,9,13
284,4,13
285,6,13
286,2,13
287,2,13
288,0,9
289,0,9
290,5,6
291,2,6
292,1,10
293,1,10
294,2,10
295,5,11
296,1,11
297,1,11
298,2,11
299,1,5
300,1,13
301,0,13
302,2,13
303,1,13
304,0,13
305,0,13
306,6,13
307,4,13
308,2,13
309,1,13
310,4,13
311,1,13
312,2,0
313,4,11
314,7,1
315,3,1
316,2,1
317,3,13
318,3,13
319,3,13
320,3,13
321,3,13
322,2,13
323,1,13
324,3,13
325,1,13
326,2,13
327,3,11
328,1,11
329,1,9
330,1,9
331,2,3
332,2,7
333,1,12
334,1,12
335,5,6
336,1,6
337,3,9
338,5,10
339,1,10
340,2,10
341,3,9
342,1,8
343,5,8
344,0,8
345,1,0
346,3,9
347,3,9
348,3,9
349,3,9
350,3,7
351,4,7
352,0,13
353,0,13
354,0,13
355,0,13
356,0,13
357,0,13
358,0,13
359,0,13
360,3,13
361,0,13
362,3,13
363,5,10
364,3,10
365,6,10
366,5,10
367,3,8
368,3,8
369,0,6
370,3,6
371,6,6
372,2,6
373,1,13
374,2,13
375,1,13
376,0,13
377,0,13
378,0,13
379,6,13
380,0,13
381,2,13
382,3,13
383,0,13
384,0,13
385,0,13
386,5,13
387,5,13
388,3,13
389,1,13
390,1,13
391,4,13
392,2,13
393,0,13
394,6,13
395,0,13
396,3,13
397,5,13
398,0,13
399,7,9
400,5,9
401,1,9
402,1,9
403,0,9
404,3,9
405,1,7
406,0,7
407,2,7
408,0,7
409,0,7
410,2,13
411,2,13
412,2,13
413,3,13
414,0,13
415,1,13
416,1,13
417,1,13
418,1,13
419,0,13
420,0,13
421,0,13
422,5,13
423,1,13
424,1,13
425,3,13
426,0,2
427,6,5
428,0,11
429,3,11
430,1,11
431,4,11
432,1,11
433,9,13
434,9,13
435,4,13
436,4,13
437,1,13
438,0,13
439,9,13
440,0,13
441,0,13
442,1,9
443,0,9
444,1,9
445,4,9
446,1,9
447,9,9
448,1,9
449,9,7
