,0,1
0,1,13
1,2,13
2,0,13
3,2,13
4,5,13
5,4,13
6,0,13
7,1,7
8,2,10
9,0,10
10,3,10
11,2,10
12,1,10
13,1,10
14,1,10
15,2,12
16,0,12
17,1,12
18,1,12
19,2,10
20,3,13
21,5,13
22,1,9
23,5,11
24,6,11
25,0,9
26,2,7
27,1,7
28,4,9
29,3,9
30,2,11
31,1,11
32,1,11
33,2,7
34,2,7
35,2,1
36,0,9
37,6,9
38,1,9
39,2,9
40,1,9
41,2,9
42,7,9
43,9,9
44,2,9
45,6,9
46,1,9
47,1,7
48,2,7
49,1,13
50,2,13
51,0,13
52,2,13
53,3,13
54,0,13
55,2,13
56,0,13
57,2,13
58,6,13
59,0,11
60,2,11
61,2,11
62,1,11
63,0,13
64,2,13
65,0,13
66,6,13
67,1,13
68,3,13
69,0,13
70,0,6
71,1,6
72,0,13
73,3,13
74,2,7
75,3,7
76,1,8
77,2,13
78,3,13
79,6,12
80,3,12
81,0,12
82,5,12
83,5,7
84,5,13
85,5,13
86,7,13
87,4,13
88,5,9
89,5,10
90,2,10
91,0,10
92,3,10
93,2,8
94,0,8
95,2,8
96,0,2
97,3,9
98,0,9
99,0,7
100,3,4
101,0,10
102,9,0
103,7,9
104,2,6
105,5,6
106,3,13
107,0,13
108,2,3
109,2,12
110,1,13
111,2,13
112,7,13
113,2,13
114,0,5
115,2,10
116,5,9
117,1,11
118,1,13
119,1,13
120,1,13
121,6,10
122,0,10
123,9,10
124,2,10
125,3,10
126,2,9
127,1,7
128,3,7
129,1,7
130,2,7
131,4,7
132,4,11
133,6,8
134,2,8
135,1,0
136,9,13
137,1,13
138,3,13
139,7,11
140,3,12
141,2,9
142,4,6
143,4,13
144,4,13
145,4,13
146,7,13
147,4,13
148,4,13
149,7,8
150,5,10
151,6,10
152,1,10
153,3,3
154,6,11
155,1,7
156,8,7
157,4,7
158,0,5
159,0,5
160,2,6
161,3,6
162,2,9
163,1,13
164,3,13
165,3,13
166,2,13
167,2,13
168,3,13
169,1,13
170,3,13
171,1,13
172,1,9
173,2,9
174,7,9
175,5,12
176,0,10
177,2,13
178,5,13
179,4,13
180,0,13
181,0,13
182,2,13
183,2,13
184,0,4
185,0,9
186,0,9
187,0,9
188,0,10
189,9,10
190,2,7
191,2,7
192,0,7
193,0,9
194,5,9
195,2,9
196,2,9
197,2,9
198,6,9
199,2,9
200,2,9
201,0,9
202,3,9
203,5,9
204,5,13
205,2,13
206,0,13
207,2,13
208,3,13
209,1,13
210,5,13
211,5,13
212,2,13
213,1,8
214,2,8
215,1,6
216,6,6
217,0,6
218,2,13
219,8,13
220,3,13
221,2,13
222,2,13
223,1,13
224,3,9
225,0,9
226,1,9
227,2,9
228,3,9
229,4,13
230,6,13
231,5,8
232,2,8
233,9,7
234,3,7
235,2,7
236,5,6
237,6,6
238,2,10
239,1,10
240,2,10
241,2,10
242,1,10
243,1,5
244,1,11
245,4,7
246,1,7
247,2,7
248,3,8
249,1,8
250,6,10
251,3,13
252,1,13
253,2,13
254,2,13
255,2,13
256,6,13
257,0,13
258,2,8
259,0,2
260,1,10
261,2,13
262,5,13
263,2,13
264,0,13
265,0,13
266,4,13
267,4,13
268,2,13
269,3,1
270,1,11
271,5,11
272,3,11
273,1,11
274,3,13
275,2,13
276,2,13
277,0,13
278,3,13
279,5,13
280,1,13
281,6,13
282,2,13
283,2,13
284,4,13
285,2,13
286,2,13
287,1,13
288,9,13
289,2,13
290,2,6
291,1,9
292,4,9
293,1,9
294,1,9
295,3,9
296,1,9
297,2,3
298,0,7
299,0,7
300,0,7
301,1,9
302,2,0
303,6,13
304,2,13
305,1,13
306,0,13
307,2,13
308,1,13
309,0,13
310,3,13
311,9,6
312,1,11
313,6,5
314,5,13
315,5,9
316,0,9
317,0,9
318,9,7
319,2,7
320,0,13
321,4,13
322,2,13
323,1,13
324,4,13
325,1,8
326,2,1
327,5,6
328,2,10
329,5,10
330,1,9
331,1,13
332,0,13
333,2,13
334,1,13
335,0,13
336,1,13
337,2,11
338,4,11
339,1,11
340,1,6
341,0,6
342,2,13
343,0,13
344,0,13
345,0,13
346,0,13
347,0,13
348,1,13
349,9,13
350,0,13
351,2,13
352,9,13
353,7,13
354,1,13
355,2,13
356,3,9
357,1,10
358,5,10
359,3,8
360,5,8
361,3,13
362,3,13
363,3,13
364,3,13
365,1,13
366,1,13
367,7,1
368,3,6
369,6,6
370,1,12
371,2,10
372,6,10
373,1,12
374,1,9
375,1,0
376,2,13
377,2,13
378,2,13
379,2,13
380,6,13
381,0,13
382,4,7
383,5,10
384,0,4
385,1,7
386,0,13
387,0,13
388,0,13
389,0,13
390,0,13
391,0,13
392,0,13
393,5,13
394,5,13
395,4,13
396,0,13
397,2,13
398,6,13
399,0,13
400,5,13
401,0,13
402,0,13
403,1,13
404,1,13
405,1,13
406,1,13
407,0,7
408,2,7
409,0,7
410,0,7
411,0,8
412,3,9
413,3,9
414,7,9
415,3,13
416,0,11
417,3,11
418,0,12
419,5,9
420,1,9
421,1,9
422,0,9
423,3,9
424,0,7
425,5,7
426,0,7
427,3,10
428,3,10
429,3,13
430,3,13
431,3,13
432,3,13
433,2,13
434,2,13
435,5,13
436,0,13
437,1,13
438,1,13
439,4,13
440,3,13
441,4,13
442,1,13
443,9,13
444,3,13
445,6,13
446,2,4
447,5,3
448,2,7
449,0,7
