,0,1
0,1,13
1,1,7
2,2,10
3,2,13
4,1,9
5,5,7
6,0,13
7,5,11
8,0,10
9,2,7
10,2,12
11,0,12
12,1,7
13,3,10
14,6,11
15,2,7
16,2,10
17,1,10
18,2,1
19,0,9
20,2,13
21,5,13
22,4,13
23,1,12
24,4,9
25,2,11
26,1,10
27,1,11
28,1,10
29,1,8
30,2,7
31,1,11
32,5,10
33,0,6
34,0,13
35,1,6
36,0,9
37,5,13
38,4,13
39,1,9
40,1,12
41,5,9
42,1,13
43,4,13
44,3,9
45,3,4
46,3,13
47,1,9
48,4,13
49,5,13
50,0,13
51,9,9
52,2,13
53,2,9
54,2,10
55,2,9
56,0,11
57,3,12
58,7,9
59,6,9
60,6,12
61,2,13
62,3,13
63,0,13
64,2,11
65,1,7
66,0,12
67,2,13
68,0,13
69,2,9
70,2,13
71,6,13
72,0,13
73,0,2
74,6,9
75,4,7
76,0,13
77,6,13
78,2,8
79,2,3
80,2,11
81,2,7
82,2,13
83,1,9
84,4,11
85,2,10
86,1,11
87,0,10
88,0,10
89,2,10
90,5,12
91,0,10
92,1,13
93,3,9
94,3,10
95,4,6
96,3,13
97,0,13
98,0,9
99,2,6
100,0,8
101,9,0
102,7,9
103,2,7
104,0,13
105,5,6
106,3,13
107,3,7
108,5,13
109,2,13
110,4,13
111,0,7
112,3,13
113,0,5
114,2,12
115,5,9
116,7,13
117,3,13
118,1,11
119,6,10
120,2,8
121,0,13
122,7,11
123,2,9
124,3,3
125,1,13
126,2,13
127,6,8
128,1,0
129,2,8
130,1,7
131,1,13
132,7,8
133,9,13
134,7,13
135,1,13
136,2,13
137,1,13
138,1,13
139,7,13
140,2,9
141,3,7
142,3,12
143,1,7
144,5,10
145,0,5
146,0,4
147,2,7
148,3,13
149,2,9
150,0,10
151,1,13
152,2,10
153,6,11
154,3,10
155,1,7
156,0,5
157,1,10
158,2,6
159,0,9
160,0,10
161,3,13
162,2,10
163,8,7
164,9,10
165,3,6
166,1,9
167,3,13
168,2,9
169,1,10
170,2,13
171,1,8
172,2,10
173,2,7
174,2,13
175,2,8
176,7,9
177,5,12
178,3,13
179,1,6
180,9,10
181,1,13
182,0,6
183,0,9
184,3,13
185,0,9
186,2,13
187,5,13
188,0,13
189,2,7
190,1,13
191,1,5
192,9,7
193,4,13
194,4,7
195,4,13
196,0,9
197,4,13
198,2,8
199,0,13
200,0,7
201,2,13
202,2,13
203,2,13
204,1,11
205,2,9
206,0,13
207,2,13
208,2,9
209,2,9
210,2,9
211,3,8
212,3,1
213,5,8
214,5,6
215,5,13
216,5,9
217,2,7
218,0,2
219,6,6
220,1,13
221,3,13
222,5,13
223,2,9
224,0,9
225,5,13
226,2,13
227,2,13
228,2,10
229,3,9
230,1,10
231,3,7
232,8,13
233,0,7
234,3,13
235,4,7
236,6,10
237,2,13
238,5,9
239,2,3
240,2,13
241,1,13
242,4,13
243,1,8
244,3,9
245,3,13
246,1,7
247,1,13
248,2,13
249,2,13
250,2,13
251,2,13
252,2,7
253,2,13
254,4,13
255,1,9
256,2,9
257,3,9
258,1,11
259,5,13
260,2,6
261,4,13
262,1,10
263,2,13
264,1,9
265,3,13
266,2,13
267,7,13
268,4,9
269,0,13
270,0,9
271,0,7
272,0,13
273,2,8
274,0,13
275,0,7
276,1,9
277,2,10
278,5,11
279,6,9
280,6,10
281,1,9
282,3,9
283,1,9
284,3,11
285,2,13
286,0,13
287,7,1
288,3,13
289,2,0
290,5,13
291,1,13
292,2,13
293,1,9
294,1,11
295,9,7
296,5,10
297,5,13
298,1,11
299,2,13
300,2,11
301,9,6
302,6,6
303,4,13
304,3,9
305,2,13
306,2,13
307,5,6
308,1,13
309,2,7
310,9,13
311,1,8
312,1,10
313,2,13
314,4,11
315,2,1
316,2,13
317,0,9
318,1,13
319,0,9
320,0,13
321,3,8
322,1,6
323,2,13
324,6,13
325,5,9
326,1,9
327,1,13
328,0,13
329,2,10
330,0,6
331,3,13
332,0,13
333,4,13
334,2,13
335,5,10
336,6,5
337,6,13
338,6,13
339,6,13
340,3,10
341,1,13
342,6,10
343,4,7
344,3,13
345,1,12
346,3,6
347,1,13
348,5,8
349,0,13
350,3,13
351,1,11
352,0,11
353,1,7
354,2,13
355,1,12
356,0,12
357,0,7
358,1,13
359,1,0
360,0,13
361,1,9
362,0,4
363,3,13
364,0,8
365,1,13
366,2,13
367,6,6
368,0,13
369,0,13
370,3,9
371,0,13
372,0,13
373,4,13
374,9,13
375,3,9
376,5,10
377,0,13
378,1,13
379,2,13
380,1,12
381,9,13
382,3,10
383,7,9
384,0,13
385,1,13
386,2,6
387,3,13
388,2,6
389,0,13
390,2,13
391,0,10
392,1,13
393,5,9
394,1,13
395,3,13
396,2,13
397,2,4
398,2,13
399,2,13
400,1,9
401,2,13
402,3,11
403,0,13
404,0,13
405,1,9
406,0,13
407,0,9
408,6,13
409,0,8
410,0,13
411,3,9
412,5,3
413,3,13
414,0,13
415,0,13
416,2,7
417,0,13
418,0,7
419,5,13
420,2,9
421,5,13
422,0,7
423,3,13
424,0,7
425,4,13
426,4,11
427,5,7
428,0,7
429,0,13
430,2,13
431,1,11
432,6,13
433,0,13
434,3,13
435,5,13
436,0,13
437,3,13
438,2,7
439,0,13
440,0,7
441,1,13
442,1,1
443,1,13
444,1,13
445,1,13
446,0,13
447,2,9
448,0,13
449,2,13
