,0,1
0,1,13
1,2,13
2,1,7
3,2,10
4,1,9
5,5,11
6,5,7
7,0,10
8,2,7
9,1,7
10,2,7
11,2,7
12,2,12
13,0,12
14,6,11
15,3,10
16,0,13
17,2,10
18,1,10
19,2,1
20,0,9
21,2,13
22,1,12
23,4,9
24,2,11
25,1,10
26,1,11
27,1,10
28,5,13
29,1,8
30,5,10
31,4,13
32,1,11
33,0,6
34,0,13
35,1,6
36,0,9
37,1,9
38,1,12
39,5,9
40,5,13
41,4,13
42,6,9
43,1,13
44,1,9
45,4,13
46,3,9
47,3,4
48,3,13
49,4,13
50,5,13
51,7,9
52,0,13
53,3,13
54,0,13
55,0,13
56,0,11
57,6,12
58,3,12
59,9,9
60,2,13
61,2,9
62,2,10
63,2,9
64,2,13
65,2,11
66,0,12
67,2,13
68,2,13
69,6,13
70,2,10
71,4,7
72,0,10
73,1,7
74,0,10
75,0,2
76,6,9
77,2,9
78,2,11
79,2,8
80,2,7
81,1,9
82,4,11
83,1,11
84,0,13
85,2,13
86,3,10
87,2,10
88,0,13
89,6,10
90,3,9
91,0,10
92,5,12
93,1,13
94,7,9
95,3,13
96,0,13
97,0,9
98,7,11
99,2,7
100,2,12
101,2,6
102,0,8
103,0,13
104,3,12
105,3,7
106,3,13
107,5,6
108,5,13
109,2,3
110,2,13
111,3,13
112,5,10
113,6,13
114,0,7
115,0,5
116,7,13
117,4,6
118,4,13
119,9,0
120,3,13
121,1,11
122,2,8
123,0,13
124,2,9
125,1,13
126,1,0
127,6,8
128,2,8
129,2,13
130,1,7
131,3,3
132,1,13
133,7,8
134,7,13
135,1,13
136,2,13
137,1,13
138,1,13
139,5,9
140,0,10
141,2,9
142,3,7
143,1,7
144,0,5
145,2,7
146,0,4
147,3,13
148,9,13
149,1,13
150,3,13
151,2,13
152,2,10
153,6,11
154,9,10
155,7,13
156,1,7
157,3,10
158,0,5
159,2,6
160,2,9
161,0,9
162,8,7
163,6,10
164,4,13
165,4,13
166,1,9
167,2,9
168,1,10
169,0,10
170,4,7
171,2,7
172,2,13
173,1,8
174,1,13
175,1,13
176,2,13
177,4,13
178,9,10
179,3,6
180,5,12
181,1,6
182,6,6
183,0,6
184,0,9
185,2,10
186,5,13
187,5,13
188,0,9
189,0,13
190,0,13
191,2,13
192,2,13
193,3,13
194,2,13
195,1,5
196,2,7
197,2,8
198,5,8
199,5,6
200,0,9
201,0,7
202,0,13
203,2,8
204,1,10
205,2,10
206,5,9
207,2,9
208,2,13
209,1,13
210,2,9
211,2,9
212,1,11
213,5,13
214,3,13
215,3,13
216,0,2
217,6,9
218,6,6
219,2,10
220,3,8
221,1,10
222,3,13
223,2,9
224,2,9
225,0,9
226,2,13
227,2,13
228,8,13
229,5,13
230,2,13
231,2,13
232,2,7
233,1,13
234,1,8
235,6,10
236,2,3
237,0,7
238,4,7
239,0,7
240,5,9
241,4,13
242,1,7
243,0,13
244,6,13
245,1,13
246,2,13
247,2,7
248,2,13
249,2,8
250,2,13
251,6,13
252,3,9
253,3,13
254,3,1
255,3,9
256,3,7
257,3,13
258,1,9
259,2,9
260,2,6
261,3,9
262,1,11
263,1,10
264,2,13
265,5,13
266,7,9
267,1,9
268,2,13
269,4,13
270,4,13
271,2,13
272,2,13
273,4,9
274,1,9
275,5,11
276,1,9
277,2,10
278,3,13
279,7,13
280,9,7
281,2,13
282,1,9
283,5,13
284,1,13
285,2,13
286,5,13
287,2,13
288,2,0
289,4,13
290,5,10
291,0,9
292,3,9
293,1,9
294,1,11
295,9,7
296,2,13
297,1,11
298,2,11
299,9,6
300,0,7
301,0,13
302,0,13
303,0,13
304,1,10
305,3,13
306,2,13
307,2,1
308,5,6
309,1,13
310,1,8
311,3,11
312,2,7
313,2,13
314,2,13
315,7,1
316,9,13
317,5,9
318,3,9
319,0,9
320,0,9
321,1,13
322,3,8
323,1,6
324,1,9
325,0,13
326,1,13
327,0,13
328,5,10
329,3,13
330,4,11
331,0,13
332,4,13
333,0,6
334,1,13
335,3,13
336,2,13
337,2,13
338,4,13
339,2,10
340,3,10
341,1,13
342,1,12
343,3,6
344,0,13
345,3,13
346,2,13
347,1,13
348,0,13
349,3,13
350,1,13
351,2,13
352,0,8
353,0,13
354,1,9
355,1,11
356,1,0
357,0,4
358,0,13
359,3,9
360,3,10
361,5,8
362,0,11
363,1,12
364,0,12
365,4,7
366,1,7
367,0,13
368,5,10
369,0,7
370,0,13
371,9,13
372,5,9
373,3,9
374,0,13
375,1,13
376,0,13
377,1,9
378,2,13
379,0,10
380,1,12
381,9,13
382,7,9
383,1,13
384,3,13
385,2,6
386,2,6
387,0,13
388,2,13
389,1,13
390,1,13
391,3,13
392,2,13
393,2,13
394,2,13
395,2,13
396,0,13
397,2,4
398,0,13
399,0,13
400,3,11
401,2,7
402,0,13
403,0,8
404,1,9
405,6,5
406,6,6
407,6,10
408,6,13
409,6,13
410,0,9
411,6,13
412,3,9
413,3,13
414,2,9
415,0,13
416,0,13
417,0,7
418,0,13
419,0,7
420,5,13
421,0,8
422,5,13
423,2,9
424,3,13
425,0,9
426,0,7
427,0,13
428,2,13
429,6,13
430,5,3
431,4,13
432,0,13
433,3,13
434,5,13
435,1,11
436,0,13
437,3,13
438,0,13
439,1,13
440,1,13
441,1,1
442,1,13
443,1,13
444,0,13
445,0,13
446,2,13
447,2,13
448,0,13
449,5,7
